style,artist,picture
Fauvism,walasse-ting,parrots-1990.jpg
Romanticism,maxim-vorobiev,view-of-manege-kutafya-tower-and-churches-of-st-nicholas-in-the-sapozhki-1817.jpg
Romanticism,francisco-goya,two-monks-1823.jpg
Impressionism,stefan-popescu,street-from-bretania.jpg
Synthetic_Cubism,georges-braque,still-life-on-a-table-with-gillette-1914.jpg
Abstract_Expressionism,richard-diebenkorn,berkeley-no-22.jpg
Symbolism,mikalojus-ciurlionis,funeral-symphony-v-1903.jpg
Impressionism,childe-hassam,winter-midnight.jpg
Rococo,bernardo-bellotto,ruins-of-the-forum-rome.jpg
Romanticism,gustave-dore,idylls-of-the-king-9.jpg
Color_Field_Painting,alma-woodsey-thomas,red-violet-nursery-viewed-from-above-1970.jpg
High_Renaissance,titian,st-ambrose.jpg
Realism,gustave-courbet,the-source-of-the-loue-1864.jpg
Symbolism,nicholas-roerich,sharugen-monastery-tibet.jpg
Romanticism,ivan-aivazovsky,capture-turkish-kocherma-1880.jpg
Expressionism,lynd-ward,not-detected-272526.jpg
Pop_Art,allan-d'arcangelo,marilyn-1962.jpg
Minimalism,frank-stella,del-mar-from-race-track-series-1972.jpg
Color_Field_Painting,mark-rothko,green-and-tangerine-on-red.jpg
Post_Impressionism,paul-gauguin,scene-from-tahitian-life-1896.jpg
Romanticism,paul-cezanne,the-lion-and-the-basin-at-jas-de-bouffan-1866.jpg
Impressionism,childe-hassam,the-fireplace.jpg
Symbolism,odilon-redon,aurora.jpg
Art_Nouveau_Modern,ferdinand-hodler,swearing-to-the-right-1.jpg
Northern_Renaissance,albrecht-durer,the-flight-into-egypt-1511.jpg
Expressionism,amedeo-modigliani,seated-boy-with-cap-1918.jpg
Post_Impressionism,henri-le-fauconnier,portrait-of-the-poet-georges-bonnamour-1906.jpg
Impressionism,lovis-corinth,reading-woman.jpg
Romanticism,karl-bryullov,juliet-tittoni-as-jeanna-d-ark-1852(1).jpg
Baroque,peter-paul-rubens,portrait-of-anne-of-austria-1622.jpg
Rococo,allan-ramsay,portrait-of-anne-bruce-mrs-bruce-of-arnot.jpg
Naive_Art_Primitivism,marc-chagall,the-story-of-the-rooster-the-little-goat-3.jpg
Post_Impressionism,walter-sickert,lady-martin-1935.jpg
Art_Nouveau_Modern,anna-ostroumova-lebedeva,venice-grand-canal-grey-day-1911.jpg
Realism,giovanni-boldini,adolf-friedrich-erdmann-von-menzel.jpg
Art_Nouveau_Modern,carl-larsson,plowing(1).jpg
Realism,volodymyr-orlovsky,sowing-1874.jpg
Romanticism,gustave-dore,the-hare-and-the-frogs.jpg
Naive_Art_Primitivism,marc-chagall,the-tablets-of-law-1962-1.jpg
Impressionism,john-henry-twachtman,venetian-sailing-vessel.jpg
High_Renaissance,giovanni-bellini,holy-conversation-1510.jpg
Romanticism,jan-matejko,augustus-ii-the-strong-1.jpg
Symbolism,nicholas-roerich,himalayas-study-6.jpg
Realism,ivan-kramskoy,actor-alexander-lensky-pavlovich-as-petruchio-inshakespeare-s-taming-of-the-shrew-1883.jpg
Impressionism,willard-metcalf,may-night.jpg
Post_Impressionism,albert-marquet,the-village-of-vosges-1893.jpg
Realism,ilya-repin,ukranian-girl-1875.jpg
Post_Impressionism,jack-bush,country-road-1942.jpg
Art_Nouveau_Modern,jules-cheret,exposition-universelle-1889-le-pays-des-fe-s-1889.jpg
Romanticism,william-shayer,village-politicians.jpg
Color_Field_Painting,ellsworth-kelly,rectangle-from-the-series-line-form-color-1951.jpg
Realism,eugene-boudin,the-fisherman-low-tide.jpg
Impressionism,alfred-sisley,early-snow-at-louveciennes-1872.jpg
Romanticism,eugene-delacroix,horses-running(1).jpg
Naive_Art_Primitivism,fernando-botero,dance-in-colombia.jpg
Post_Impressionism,vincent-van-gogh,vase-with-gladioli-and-carnations-1886.jpg
Rococo,benjamin-west,portrait-of-prince-octavius-1783.jpg
Impressionism,claude-monet,the-seine-at-vetheuil-2.jpg
Art_Nouveau_Modern,gustav-klimt,farmhouse-with-birch-trees-1903.jpg
Post_Impressionism,vincent-van-gogh,the-starry-night-1889(1).jpg
Impressionism,pierre-auguste-renoir,the-clearing-1895.jpg
Abstract_Expressionism,dan-christensen,metal-yellow-1982.jpg
Expressionism,pyotr-konchalovsky,landscape-at-siena-1912.jpg
Contemporary_Realism,eric-fischl,growing-up-in-the-company-of-women-ii.jpg
Romanticism,jan-matejko,casimir-jagiellonian.jpg
Romanticism,richard-parkes-bonington,venice-grand-canal-sunset.jpg
Pop_Art,rene-bertholo,fragments.jpg
Impressionism,alfred-sisley,among-the-vines-near-louveciennes-1874.jpg
Art_Nouveau_Modern,ivan-bilibin,churilo-plenkovich-1902.jpg
Ukiyo_e,utagawa-kuniyoshi,opening-shellfish-at-fukagawa.jpg
