style,artist,picture,path
Post_Impressionism,paul-cezanne,chestnut-tree-and-farm-1885,downloaded_images/chestnut-tree-and-farm-1885.jpg
Early_Renaissance,carlo-crivelli,saint-laurenzius-1468,downloaded_images/saint-laurenzius-1468.jpg
New_Realism,john-french-sloan,cornelia-street-1920,downloaded_images/cornelia-street-1920.jpg
Baroque,gabriel-metsu,woman-at-the-virginals,downloaded_images/woman-at-the-virginals.jpg
Art_Nouveau_Modern,heorhiy-narbut,sheet-l-from-the-album-ukrainian-alphabet-1917,downloaded_images/sheet-l-from-the-album-ukrainian-alphabet-1917.jpg
Realism,james-tissot,statesmen-no-370-caricature-of-thomas-dundas-2nd-earl-of-zetland,downloaded_images/statesmen-no-370-caricature-of-thomas-dundas-2nd-earl-of-zetland.jpg
Realism,gustave-courbet,crumbling-rocks-1864,downloaded_images/crumbling-rocks-1864.jpg
Ukiyo_e,katsushika-hokusai,sparrow-and-magnolia,downloaded_images/sparrow-and-magnolia.jpg
Post_Impressionism,vincent-van-gogh,garden-with-flowers-1888(1),downloaded_images/garden-with-flowers-1888(1).jpg
Realism,pyotr-konchalovsky,still-life-lilacs-1951,downloaded_images/still-life-lilacs-1951.jpg
Contemporary_Realism,john-miller,sunrise-of-wonder-viii,downloaded_images/sunrise-of-wonder-viii.jpg
Abstract_Expressionism,gene-davis,dog-and-flowers-1957,downloaded_images/dog-and-flowers-1957.jpg
Impressionism,camille-pissarro,place-du-theatre-francais-afternoon-sun-in-winter-1898,downloaded_images/place-du-theatre-francais-afternoon-sun-in-winter-1898.jpg
Impressionism,camille-pissarro,the-banks-of-the-seine-in-paris-pont-marie-quai-d-anjou,downloaded_images/the-banks-of-the-seine-in-paris-pont-marie-quai-d-anjou.jpg
Realism,vladimir-makovsky,politicians-1884,downloaded_images/politicians-1884.jpg
Early_Renaissance,benozzo-gozzoli,tabernacle-of-the-visitation-meeting-at-the-golden-gate,downloaded_images/tabernacle-of-the-visitation-meeting-at-the-golden-gate.jpg
Realism,john-singer-sargent,margaretta-drexel-countess-of-winchilsea-and-nottingham,downloaded_images/margaretta-drexel-countess-of-winchilsea-and-nottingham.jpg
Contemporary_Realism,janet-fish,blue-decanter-polka-dot-bowl-suzani-2009,downloaded_images/blue-decanter-polka-dot-bowl-suzani-2009.jpg
Impressionism,pierre-auguste-renoir,genevieve-bernheim-de-villers-1910,downloaded_images/genevieve-bernheim-de-villers-1910.jpg
Abstract_Expressionism,esteban-vicente,diptych-1987,downloaded_images/diptych-1987.jpg
Realism,eugene-boudin,trouville-shore-and-rocks,downloaded_images/trouville-shore-and-rocks.jpg
Symbolism,felicien-rops,behind-the-scenes,downloaded_images/behind-the-scenes.jpg
Impressionism,henry-herbert-la-thangue,ligurian-artrobus,downloaded_images/ligurian-artrobus.jpg
Realism,vincent-van-gogh,girl-kneeling-by-a-cradle-1883(1),downloaded_images/girl-kneeling-by-a-cradle-1883(1).jpg
Realism,ivan-kramskoy,inspection-of-the-old-house-1874,downloaded_images/inspection-of-the-old-house-1874.jpg
Post_Impressionism,maurice-utrillo,road-in-argenteuil,downloaded_images/road-in-argenteuil.jpg
Realism,gustave-courbet,woods-in-the-snow,downloaded_images/woods-in-the-snow.jpg
Expressionism,ernst-ludwig-kirchner,erna-with-cigarette-1915,downloaded_images/erna-with-cigarette-1915.jpg
Impressionism,claude-monet,river-scene-at-bennecourt,downloaded_images/river-scene-at-bennecourt.jpg
Naive_Art_Primitivism,marc-chagall,moses-meets-in-the-desert-his-brother-aaron-who-came-towards-him-at-the-behest-of-god-exodus-iv,downloaded_images/moses-meets-in-the-desert-his-brother-aaron-who-came-towards-him-at-the-behest-of-god-exodus-iv.jpg
Rococo,benjamin-west,the-golden-age-1776,downloaded_images/the-golden-age-1776.jpg
Romanticism,karl-bodmer,the-town-traben-trarbach-and-the-grevenburg-on-the-moselle-river-in-germany-1841,downloaded_images/the-town-traben-trarbach-and-the-grevenburg-on-the-moselle-river-in-germany-1841.jpg
Color_Field_Painting,leon-berkowitz,with-in-1985,downloaded_images/with-in-1985.jpg
Expressionism,umberto-boccioni,kneeling-allegorical-figure,downloaded_images/kneeling-allegorical-figure.jpg
Ukiyo_e,utagawa-kuniyoshi,women-25,downloaded_images/women-25.jpg
Symbolism,mstislav-dobuzhinsky,street-in-vilno-1910(1),downloaded_images/street-in-vilno-1910(1).jpg
Post_Impressionism,albert-marquet,river-scene,downloaded_images/river-scene.jpg
Cubism,olexandr-archipenko,coquette-1950,downloaded_images/coquette-1950.jpg
Art_Nouveau_Modern,alphonse-mucha,morning-star-1902,downloaded_images/morning-star-1902.jpg
Realism,vincent-van-gogh,peasant-woman-binding-a-sheaf-of-grain-1885,downloaded_images/peasant-woman-binding-a-sheaf-of-grain-1885.jpg
Northern_Renaissance,albrecht-durer,christ-before-annas-1511,downloaded_images/christ-before-annas-1511.jpg
Color_Field_Painting,paul-feeley,alya-1964,downloaded_images/alya-1964.jpg
Symbolism,mikhail-nesterov,thinker-portrait-of-philisopher-ivan-ilyin-1921,downloaded_images/thinker-portrait-of-philisopher-ivan-ilyin-1921.jpg
Post_Impressionism,henri-matisse,the-stream-near-nice,downloaded_images/the-stream-near-nice.jpg
Impressionism,paul-cezanne,madame-cezanne-leaning-on-a-table,downloaded_images/madame-cezanne-leaning-on-a-table.jpg
Rococo,george-morland,interior-of-a-stable,downloaded_images/interior-of-a-stable.jpg
Impressionism,william-merritt-chase,lady-in-white-gown,downloaded_images/lady-in-white-gown.jpg
