style,artist,picture,path
Post_Impressionism,paul-cezanne,chestnut-tree-and-farm-1885,1001_images/chestnut-tree-and-farm-1885.jpg
Early_Renaissance,carlo-crivelli,saint-laurenzius-1468,1001_images/saint-laurenzius-1468.jpg
New_Realism,john-french-sloan,cornelia-street-1920,1001_images/cornelia-street-1920.jpg
Baroque,gabriel-metsu,woman-at-the-virginals,1001_images/woman-at-the-virginals.jpg
Art_Nouveau_Modern,heorhiy-narbut,sheet-l-from-the-album-ukrainian-alphabet-1917,1001_images/sheet-l-from-the-album-ukrainian-alphabet-1917.jpg
Realism,james-tissot,statesmen-no-370-caricature-of-thomas-dundas-2nd-earl-of-zetland,1001_images/statesmen-no-370-caricature-of-thomas-dundas-2nd-earl-of-zetland.jpg
Realism,gustave-courbet,crumbling-rocks-1864,1001_images/crumbling-rocks-1864.jpg
Ukiyo_e,katsushika-hokusai,sparrow-and-magnolia,1001_images/sparrow-and-magnolia.jpg
Post_Impressionism,vincent-van-gogh,garden-with-flowers-1888(1),1001_images/garden-with-flowers-1888(1).jpg
Realism,pyotr-konchalovsky,still-life-lilacs-1951,1001_images/still-life-lilacs-1951.jpg
Contemporary_Realism,john-miller,sunrise-of-wonder-viii,1001_images/sunrise-of-wonder-viii.jpg
Abstract_Expressionism,gene-davis,dog-and-flowers-1957,1001_images/dog-and-flowers-1957.jpg
Impressionism,camille-pissarro,place-du-theatre-francais-afternoon-sun-in-winter-1898,1001_images/place-du-theatre-francais-afternoon-sun-in-winter-1898.jpg
Impressionism,camille-pissarro,the-banks-of-the-seine-in-paris-pont-marie-quai-d-anjou,1001_images/the-banks-of-the-seine-in-paris-pont-marie-quai-d-anjou.jpg
Realism,vladimir-makovsky,politicians-1884,1001_images/politicians-1884.jpg
Early_Renaissance,benozzo-gozzoli,tabernacle-of-the-visitation-meeting-at-the-golden-gate,1001_images/tabernacle-of-the-visitation-meeting-at-the-golden-gate.jpg
Realism,john-singer-sargent,margaretta-drexel-countess-of-winchilsea-and-nottingham,1001_images/margaretta-drexel-countess-of-winchilsea-and-nottingham.jpg
Contemporary_Realism,janet-fish,blue-decanter-polka-dot-bowl-suzani-2009,1001_images/blue-decanter-polka-dot-bowl-suzani-2009.jpg
Impressionism,pierre-auguste-renoir,genevieve-bernheim-de-villers-1910,1001_images/genevieve-bernheim-de-villers-1910.jpg
Abstract_Expressionism,esteban-vicente,diptych-1987,1001_images/diptych-1987.jpg
Realism,eugene-boudin,trouville-shore-and-rocks,1001_images/trouville-shore-and-rocks.jpg
Symbolism,felicien-rops,behind-the-scenes,1001_images/behind-the-scenes.jpg
Impressionism,henry-herbert-la-thangue,ligurian-artrobus,1001_images/ligurian-artrobus.jpg
Realism,vincent-van-gogh,girl-kneeling-by-a-cradle-1883(1),1001_images/girl-kneeling-by-a-cradle-1883(1).jpg
Realism,ivan-kramskoy,inspection-of-the-old-house-1874,1001_images/inspection-of-the-old-house-1874.jpg
Post_Impressionism,maurice-utrillo,road-in-argenteuil,1001_images/road-in-argenteuil.jpg
Realism,gustave-courbet,woods-in-the-snow,1001_images/woods-in-the-snow.jpg
Expressionism,ernst-ludwig-kirchner,erna-with-cigarette-1915,1001_images/erna-with-cigarette-1915.jpg
Impressionism,claude-monet,river-scene-at-bennecourt,1001_images/river-scene-at-bennecourt.jpg
Naive_Art_Primitivism,marc-chagall,moses-meets-in-the-desert-his-brother-aaron-who-came-towards-him-at-the-behest-of-god-exodus-iv,1001_images/moses-meets-in-the-desert-his-brother-aaron-who-came-towards-him-at-the-behest-of-god-exodus-iv.jpg
Rococo,benjamin-west,the-golden-age-1776,1001_images/the-golden-age-1776.jpg
Romanticism,karl-bodmer,the-town-traben-trarbach-and-the-grevenburg-on-the-moselle-river-in-germany-1841,1001_images/the-town-traben-trarbach-and-the-grevenburg-on-the-moselle-river-in-germany-1841.jpg
Color_Field_Painting,leon-berkowitz,with-in-1985,1001_images/with-in-1985.jpg
Expressionism,umberto-boccioni,kneeling-allegorical-figure,1001_images/kneeling-allegorical-figure.jpg
Ukiyo_e,utagawa-kuniyoshi,women-25,1001_images/women-25.jpg
Symbolism,mstislav-dobuzhinsky,street-in-vilno-1910(1),1001_images/street-in-vilno-1910(1).jpg
Post_Impressionism,albert-marquet,river-scene,1001_images/river-scene.jpg
Cubism,olexandr-archipenko,coquette-1950,1001_images/coquette-1950.jpg
Art_Nouveau_Modern,alphonse-mucha,morning-star-1902,1001_images/morning-star-1902.jpg
Realism,vincent-van-gogh,peasant-woman-binding-a-sheaf-of-grain-1885,1001_images/peasant-woman-binding-a-sheaf-of-grain-1885.jpg
Northern_Renaissance,albrecht-durer,christ-before-annas-1511,1001_images/christ-before-annas-1511.jpg
Color_Field_Painting,paul-feeley,alya-1964,1001_images/alya-1964.jpg
Symbolism,mikhail-nesterov,thinker-portrait-of-philisopher-ivan-ilyin-1921,1001_images/thinker-portrait-of-philisopher-ivan-ilyin-1921.jpg
Post_Impressionism,henri-matisse,the-stream-near-nice,1001_images/the-stream-near-nice.jpg
Impressionism,paul-cezanne,madame-cezanne-leaning-on-a-table,1001_images/madame-cezanne-leaning-on-a-table.jpg
Rococo,george-morland,interior-of-a-stable,1001_images/interior-of-a-stable.jpg
Impressionism,william-merritt-chase,lady-in-white-gown,1001_images/lady-in-white-gown.jpg
Rococo,joshua-reynolds,anne-dashwood,1001_images/anne-dashwood.jpg
Expressionism,henri-matisse,still-life-5,1001_images/still-life-5.jpg
Realism,camille-corot,crecy-en-brie-road-in-the-country,1001_images/crecy-en-brie-road-in-the-country.jpg
Abstract_Expressionism,cy-twombly,ferragosto-iii,1001_images/ferragosto-iii.jpg
Realism,anders-zorn,william-h-taft-1911,1001_images/william-h-taft-1911.jpg
Romanticism,joseph-wright,an-eruption-of-vesuvius-seen-from-portici,1001_images/an-eruption-of-vesuvius-seen-from-portici.jpg
Post_Impressionism,theo-van-rysselberghe,portrait-of-madame-monnon-1919,1001_images/portrait-of-madame-monnon-1919.jpg
Realism,pierre-auguste-renoir,the-painter-jules-le-coeur-walking-his-dogs-in-the-forest-of-fontainebleau-1866,1001_images/the-painter-jules-le-coeur-walking-his-dogs-in-the-forest-of-fontainebleau-1866.jpg
Art_Nouveau_Modern,ivan-bilibin,archangel-michael-mosaic-on-the-north-side-of-the-church-of-the-virgin-uspeniya-in-olshany(1),1001_images/archangel-michael-mosaic-on-the-north-side-of-the-church-of-the-virgin-uspeniya-in-olshany(1).jpg
Mannerism_Late_Renaissance,tintoretto,st-george-1544,1001_images/st-george-1544.jpg
Post_Impressionism,vincent-van-gogh,blossoming-chestnut-branches-1890(1),1001_images/blossoming-chestnut-branches-1890(1).jpg
Impressionism,konstantin-korovin,winter-sun-1919,1001_images/winter-sun-1919.jpg
Early_Renaissance,luca-signorelli,view-of-the-vaulting-of-the-sacristy-of-st-john-1482,1001_images/view-of-the-vaulting-of-the-sacristy-of-st-john-1482.jpg
Romanticism,thomas-cole,study-for-the-pilgrim-of-the-world-on-his-journey,1001_images/study-for-the-pilgrim-of-the-world-on-his-journey.jpg
Realism,vasily-vereshchagin,in-the-kremlin-a-fire-1895,1001_images/in-the-kremlin-a-fire-1895.jpg
Art_Nouveau_Modern,felix-vallotton,french-writer-alexandre-dumas-1895,1001_images/french-writer-alexandre-dumas-1895.jpg
Abstract_Expressionism,joan-miro,blue-i-1961,1001_images/blue-i-1961.jpg
Impressionism,john-henry-twachtman,hayrick-1900,1001_images/hayrick-1900.jpg
Baroque,theodoor-van-thulden,discord-expels-art-and-science,1001_images/discord-expels-art-and-science.jpg
