style,artist,picture,path
Post_Impressionism,paul-cezanne,chestnut-tree-and-farm-1885,chestnut-tree-and-farm-1885.jpg
Early_Renaissance,carlo-crivelli,saint-laurenzius-1468,saint-laurenzius-1468.jpg
New_Realism,john-french-sloan,cornelia-street-1920,cornelia-street-1920.jpg
Baroque,gabriel-metsu,woman-at-the-virginals,woman-at-the-virginals.jpg
Art_Nouveau_Modern,heorhiy-narbut,sheet-l-from-the-album-ukrainian-alphabet-1917,sheet-l-from-the-album-ukrainian-alphabet-1917.jpg
Realism,james-tissot,statesmen-no-370-caricature-of-thomas-dundas-2nd-earl-of-zetland,statesmen-no-370-caricature-of-thomas-dundas-2nd-earl-of-zetland.jpg
Realism,gustave-courbet,crumbling-rocks-1864,crumbling-rocks-1864.jpg
Ukiyo_e,katsushika-hokusai,sparrow-and-magnolia,sparrow-and-magnolia.jpg
Post_Impressionism,vincent-van-gogh,garden-with-flowers-1888(1),garden-with-flowers-1888(1).jpg
Realism,pyotr-konchalovsky,still-life-lilacs-1951,still-life-lilacs-1951.jpg
Contemporary_Realism,john-miller,sunrise-of-wonder-viii,sunrise-of-wonder-viii.jpg
Abstract_Expressionism,gene-davis,dog-and-flowers-1957,dog-and-flowers-1957.jpg
Impressionism,camille-pissarro,place-du-theatre-francais-afternoon-sun-in-winter-1898,place-du-theatre-francais-afternoon-sun-in-winter-1898.jpg
Impressionism,camille-pissarro,the-banks-of-the-seine-in-paris-pont-marie-quai-d-anjou,the-banks-of-the-seine-in-paris-pont-marie-quai-d-anjou.jpg
Realism,vladimir-makovsky,politicians-1884,politicians-1884.jpg
Early_Renaissance,benozzo-gozzoli,tabernacle-of-the-visitation-meeting-at-the-golden-gate,tabernacle-of-the-visitation-meeting-at-the-golden-gate.jpg
Realism,john-singer-sargent,margaretta-drexel-countess-of-winchilsea-and-nottingham,margaretta-drexel-countess-of-winchilsea-and-nottingham.jpg
Contemporary_Realism,janet-fish,blue-decanter-polka-dot-bowl-suzani-2009,blue-decanter-polka-dot-bowl-suzani-2009.jpg
Impressionism,pierre-auguste-renoir,genevieve-bernheim-de-villers-1910,genevieve-bernheim-de-villers-1910.jpg
Abstract_Expressionism,esteban-vicente,diptych-1987,diptych-1987.jpg
Realism,eugene-boudin,trouville-shore-and-rocks,trouville-shore-and-rocks.jpg
Symbolism,felicien-rops,behind-the-scenes,behind-the-scenes.jpg
Impressionism,henry-herbert-la-thangue,ligurian-artrobus,ligurian-artrobus.jpg
Realism,vincent-van-gogh,girl-kneeling-by-a-cradle-1883(1),girl-kneeling-by-a-cradle-1883(1).jpg
Realism,ivan-kramskoy,inspection-of-the-old-house-1874,inspection-of-the-old-house-1874.jpg
Post_Impressionism,maurice-utrillo,road-in-argenteuil,road-in-argenteuil.jpg
Realism,gustave-courbet,woods-in-the-snow,woods-in-the-snow.jpg
Expressionism,ernst-ludwig-kirchner,erna-with-cigarette-1915,erna-with-cigarette-1915.jpg
Impressionism,claude-monet,river-scene-at-bennecourt,river-scene-at-bennecourt.jpg
Naive_Art_Primitivism,marc-chagall,moses-meets-in-the-desert-his-brother-aaron-who-came-towards-him-at-the-behest-of-god-exodus-iv,moses-meets-in-the-desert-his-brother-aaron-who-came-towards-him-at-the-behest-of-god-exodus-iv.jpg
Rococo,benjamin-west,the-golden-age-1776,the-golden-age-1776.jpg
Romanticism,karl-bodmer,the-town-traben-trarbach-and-the-grevenburg-on-the-moselle-river-in-germany-1841,the-town-traben-trarbach-and-the-grevenburg-on-the-moselle-river-in-germany-1841.jpg
Color_Field_Painting,leon-berkowitz,with-in-1985,with-in-1985.jpg
Expressionism,umberto-boccioni,kneeling-allegorical-figure,kneeling-allegorical-figure.jpg
Ukiyo_e,utagawa-kuniyoshi,women-25,women-25.jpg
Symbolism,mstislav-dobuzhinsky,street-in-vilno-1910(1),street-in-vilno-1910(1).jpg
Post_Impressionism,albert-marquet,river-scene,river-scene.jpg
Cubism,olexandr-archipenko,coquette-1950,coquette-1950.jpg
Art_Nouveau_Modern,alphonse-mucha,morning-star-1902,morning-star-1902.jpg
Realism,vincent-van-gogh,peasant-woman-binding-a-sheaf-of-grain-1885,peasant-woman-binding-a-sheaf-of-grain-1885.jpg
Northern_Renaissance,albrecht-durer,christ-before-annas-1511,christ-before-annas-1511.jpg
Color_Field_Painting,paul-feeley,alya-1964,alya-1964.jpg
Symbolism,mikhail-nesterov,thinker-portrait-of-philisopher-ivan-ilyin-1921,thinker-portrait-of-philisopher-ivan-ilyin-1921.jpg
Post_Impressionism,henri-matisse,the-stream-near-nice,the-stream-near-nice.jpg
Impressionism,paul-cezanne,madame-cezanne-leaning-on-a-table,madame-cezanne-leaning-on-a-table.jpg
Rococo,george-morland,interior-of-a-stable,interior-of-a-stable.jpg
Impressionism,william-merritt-chase,lady-in-white-gown,lady-in-white-gown.jpg
Rococo,joshua-reynolds,anne-dashwood,anne-dashwood.jpg
Expressionism,henri-matisse,still-life-5,still-life-5.jpg
Realism,camille-corot,crecy-en-brie-road-in-the-country,crecy-en-brie-road-in-the-country.jpg
Abstract_Expressionism,cy-twombly,ferragosto-iii,ferragosto-iii.jpg
Realism,anders-zorn,william-h-taft-1911,william-h-taft-1911.jpg
Romanticism,joseph-wright,an-eruption-of-vesuvius-seen-from-portici,an-eruption-of-vesuvius-seen-from-portici.jpg
Post_Impressionism,theo-van-rysselberghe,portrait-of-madame-monnon-1919,portrait-of-madame-monnon-1919.jpg
