style,artist,picture
Fauvism,walasse-ting,parrots-1990
Romanticism,maxim-vorobiev,view-of-manege-kutafya-tower-and-churches-of-st-nicholas-in-the-sapozhki-1817
Romanticism,francisco-goya,two-monks-1823
Impressionism,stefan-popescu,street-from-bretania
Synthetic_Cubism,georges-braque,still-life-on-a-table-with-gillette-1914
Abstract_Expressionism,richard-diebenkorn,berkeley-no-22
Symbolism,mikalojus-ciurlionis,funeral-symphony-v-1903
Impressionism,childe-hassam,winter-midnight
Rococo,bernardo-bellotto,ruins-of-the-forum-rome
Romanticism,gustave-dore,idylls-of-the-king-9
Color_Field_Painting,alma-woodsey-thomas,red-violet-nursery-viewed-from-above-1970
High_Renaissance,titian,st-ambrose
Realism,gustave-courbet,the-source-of-the-loue-1864
Symbolism,nicholas-roerich,sharugen-monastery-tibet
Romanticism,ivan-aivazovsky,capture-turkish-kocherma-1880
Expressionism,lynd-ward,not-detected-272526
Pop_Art,allan-d'arcangelo,marilyn-1962
Minimalism,frank-stella,del-mar-from-race-track-series-1972
Color_Field_Painting,mark-rothko,green-and-tangerine-on-red
Post_Impressionism,paul-gauguin,scene-from-tahitian-life-1896
Romanticism,paul-cezanne,the-lion-and-the-basin-at-jas-de-bouffan-1866
Impressionism,childe-hassam,the-fireplace
Symbolism,odilon-redon,aurora
Art_Nouveau_Modern,ferdinand-hodler,swearing-to-the-right-1
Northern_Renaissance,albrecht-durer,the-flight-into-egypt-1511
Expressionism,amedeo-modigliani,seated-boy-with-cap-1918
Post_Impressionism,henri-le-fauconnier,portrait-of-the-poet-georges-bonnamour-1906
Impressionism,lovis-corinth,reading-woman
Romanticism,karl-bryullov,juliet-tittoni-as-jeanna-d-ark-1852(1)
Baroque,peter-paul-rubens,portrait-of-anne-of-austria-1622
Rococo,allan-ramsay,portrait-of-anne-bruce-mrs-bruce-of-arnot
Naive_Art_Primitivism,marc-chagall,the-story-of-the-rooster-the-little-goat-3
Post_Impressionism,walter-sickert,lady-martin-1935
Art_Nouveau_Modern,anna-ostroumova-lebedeva,venice-grand-canal-grey-day-1911
Realism,giovanni-boldini,adolf-friedrich-erdmann-von-menzel
Art_Nouveau_Modern,carl-larsson,plowing(1)
Realism,volodymyr-orlovsky,sowing-1874
Romanticism,gustave-dore,the-hare-and-the-frogs
Naive_Art_Primitivism,marc-chagall,the-tablets-of-law-1962-1
Impressionism,john-henry-twachtman,venetian-sailing-vessel
High_Renaissance,giovanni-bellini,holy-conversation-1510
Romanticism,jan-matejko,augustus-ii-the-strong-1
Symbolism,nicholas-roerich,himalayas-study-6
Realism,ivan-kramskoy,actor-alexander-lensky-pavlovich-as-petruchio-inshakespeare-s-taming-of-the-shrew-1883
Impressionism,willard-metcalf,may-night
Post_Impressionism,albert-marquet,the-village-of-vosges-1893
Realism,ilya-repin,ukranian-girl-1875
Post_Impressionism,jack-bush,country-road-1942
Art_Nouveau_Modern,jules-cheret,exposition-universelle-1889-le-pays-des-fe-s-1889
Romanticism,william-shayer,village-politicians
Color_Field_Painting,ellsworth-kelly,rectangle-from-the-series-line-form-color-1951
Realism,eugene-boudin,the-fisherman-low-tide
Impressionism,alfred-sisley,early-snow-at-louveciennes-1872
Romanticism,eugene-delacroix,horses-running(1)
Naive_Art_Primitivism,fernando-botero,dance-in-colombia
Post_Impressionism,vincent-van-gogh,vase-with-gladioli-and-carnations-1886
Rococo,benjamin-west,portrait-of-prince-octavius-1783
Impressionism,claude-monet,the-seine-at-vetheuil-2
Art_Nouveau_Modern,gustav-klimt,farmhouse-with-birch-trees-1903
Post_Impressionism,vincent-van-gogh,the-starry-night-1889(1)
Impressionism,pierre-auguste-renoir,the-clearing-1895
Abstract_Expressionism,dan-christensen,metal-yellow-1982
Expressionism,pyotr-konchalovsky,landscape-at-siena-1912
Contemporary_Realism,eric-fischl,growing-up-in-the-company-of-women-ii
Romanticism,jan-matejko,casimir-jagiellonian
