style,artist,picture,image
Fauvism,walasse-ting,parrots-1990.jpg,downloaded_images\parrots-1990.jpg
Romanticism,maxim-vorobiev,view-of-manege-kutafya-tower-and-churches-of-st-nicholas-in-the-sapozhki-1817.jpg,downloaded_images\view-of-manege-kutafya-tower-and-churches-of-st-nicholas-in-the-sapozhki-1817.jpg
Romanticism,francisco-goya,two-monks-1823.jpg,downloaded_images\two-monks-1823.jpg
Impressionism,stefan-popescu,street-from-bretania.jpg,downloaded_images\street-from-bretania.jpg
Synthetic_Cubism,georges-braque,still-life-on-a-table-with-gillette-1914.jpg,downloaded_images\still-life-on-a-table-with-gillette-1914.jpg
Abstract_Expressionism,richard-diebenkorn,berkeley-no-22.jpg,downloaded_images\berkeley-no-22.jpg
Symbolism,mikalojus-ciurlionis,funeral-symphony-v-1903.jpg,downloaded_images\funeral-symphony-v-1903.jpg
Impressionism,childe-hassam,winter-midnight.jpg,downloaded_images\winter-midnight.jpg
Rococo,bernardo-bellotto,ruins-of-the-forum-rome.jpg,downloaded_images\ruins-of-the-forum-rome.jpg
Romanticism,gustave-dore,idylls-of-the-king-9.jpg,downloaded_images\idylls-of-the-king-9.jpg
Color_Field_Painting,alma-woodsey-thomas,red-violet-nursery-viewed-from-above-1970.jpg,downloaded_images\red-violet-nursery-viewed-from-above-1970.jpg
High_Renaissance,titian,st-ambrose.jpg,downloaded_images\st-ambrose.jpg
Realism,gustave-courbet,the-source-of-the-loue-1864.jpg,downloaded_images\the-source-of-the-loue-1864.jpg
Symbolism,nicholas-roerich,sharugen-monastery-tibet.jpg,downloaded_images\sharugen-monastery-tibet.jpg
Romanticism,ivan-aivazovsky,capture-turkish-kocherma-1880.jpg,downloaded_images\capture-turkish-kocherma-1880.jpg
Expressionism,lynd-ward,not-detected-272526.jpg,downloaded_images\not-detected-272526.jpg
Pop_Art,allan-d'arcangelo,marilyn-1962.jpg,downloaded_images\marilyn-1962.jpg
Minimalism,frank-stella,del-mar-from-race-track-series-1972.jpg,downloaded_images\del-mar-from-race-track-series-1972.jpg
Color_Field_Painting,mark-rothko,green-and-tangerine-on-red.jpg,downloaded_images\green-and-tangerine-on-red.jpg
Post_Impressionism,paul-gauguin,scene-from-tahitian-life-1896.jpg,downloaded_images\scene-from-tahitian-life-1896.jpg
Romanticism,paul-cezanne,the-lion-and-the-basin-at-jas-de-bouffan-1866.jpg,downloaded_images\the-lion-and-the-basin-at-jas-de-bouffan-1866.jpg
Impressionism,childe-hassam,the-fireplace.jpg,downloaded_images\the-fireplace.jpg
Symbolism,odilon-redon,aurora.jpg,downloaded_images\aurora.jpg
Art_Nouveau_Modern,ferdinand-hodler,swearing-to-the-right-1.jpg,downloaded_images\swearing-to-the-right-1.jpg
Northern_Renaissance,albrecht-durer,the-flight-into-egypt-1511.jpg,downloaded_images\the-flight-into-egypt-1511.jpg
Expressionism,amedeo-modigliani,seated-boy-with-cap-1918.jpg,downloaded_images\seated-boy-with-cap-1918.jpg
Post_Impressionism,henri-le-fauconnier,portrait-of-the-poet-georges-bonnamour-1906.jpg,downloaded_images\portrait-of-the-poet-georges-bonnamour-1906.jpg
Impressionism,lovis-corinth,reading-woman.jpg,downloaded_images\reading-woman.jpg
Romanticism,karl-bryullov,juliet-tittoni-as-jeanna-d-ark-1852(1).jpg,downloaded_images\juliet-tittoni-as-jeanna-d-ark-1852(1).jpg
Baroque,peter-paul-rubens,portrait-of-anne-of-austria-1622.jpg,downloaded_images\portrait-of-anne-of-austria-1622.jpg
Rococo,allan-ramsay,portrait-of-anne-bruce-mrs-bruce-of-arnot.jpg,downloaded_images\portrait-of-anne-bruce-mrs-bruce-of-arnot.jpg
Naive_Art_Primitivism,marc-chagall,the-story-of-the-rooster-the-little-goat-3.jpg,downloaded_images\the-story-of-the-rooster-the-little-goat-3.jpg
Post_Impressionism,walter-sickert,lady-martin-1935.jpg,downloaded_images\lady-martin-1935.jpg
Art_Nouveau_Modern,anna-ostroumova-lebedeva,venice-grand-canal-grey-day-1911.jpg,downloaded_images\venice-grand-canal-grey-day-1911.jpg
Realism,giovanni-boldini,adolf-friedrich-erdmann-von-menzel.jpg,downloaded_images\adolf-friedrich-erdmann-von-menzel.jpg
Art_Nouveau_Modern,carl-larsson,plowing(1).jpg,downloaded_images\plowing(1).jpg
Realism,volodymyr-orlovsky,sowing-1874.jpg,downloaded_images\sowing-1874.jpg
Romanticism,gustave-dore,the-hare-and-the-frogs.jpg,downloaded_images\the-hare-and-the-frogs.jpg
Naive_Art_Primitivism,marc-chagall,the-tablets-of-law-1962-1.jpg,downloaded_images\the-tablets-of-law-1962-1.jpg
Impressionism,john-henry-twachtman,venetian-sailing-vessel.jpg,downloaded_images\venetian-sailing-vessel.jpg
High_Renaissance,giovanni-bellini,holy-conversation-1510.jpg,downloaded_images\holy-conversation-1510.jpg
Romanticism,jan-matejko,augustus-ii-the-strong-1.jpg,downloaded_images\augustus-ii-the-strong-1.jpg
Symbolism,nicholas-roerich,himalayas-study-6.jpg,downloaded_images\himalayas-study-6.jpg
